Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V),Position (mm),Velocity (mm/s)
.005,8.5444,7.2986,3.0938,.0047,87.3653712094807,
.01,8.546,7.2979,3.4573,.0044,87.3842221447659,3.77018705704586
.015,8.5499,7.2969,3.7415,.0042,87.4124840246311,5.65237597304531
.02,8.5386,7.3135,3.9607,.0046,86.932003020797,-96.0962007668172
.025,8.5386,7.2982,4.1235,.0047,87.3747821540606,88.5558266527227
.03,8.5415,7.2979,4.2452,.0057,87.3842221447659,1.88799814104925
.035,8.5392,7.2979,4.325,.0097,87.3842221447659,0
.04,8.5376,7.2982,4.385,.0178,87.3747821540606,-1.88799814104925
.045,8.5272,7.2973,4.4398,.0201,87.4030440339259,5.65237597304815
.05,8.5318,7.2969,4.4793,.0314,87.4124840246311,1.88799814104641
.055,8.5168,7.294,4.5468,.0535,87.4972696642268,16.9571279191331
.06,8.5178,7.2934,4.6019,.0764,87.5160915533868,3.76437783199606
.065,8.5104,7.2898,4.6519,.0999,87.6197281282677,20.7273149761875
.07,8.5,7.2853,4.7028,.1237,87.7516265830138,26.3796909492243
.075,8.511,7.2798,4.7408,.1572,87.9117869176252,32.0320669222724
.08,8.4734,7.2733,4.769,.1937,88.1002091321018,37.6844428953149
.085,8.4666,7.2678,4.7719,.2115,88.2603694667131,32.0320669222781
.09,8.4371,7.2561,4.7774,.2379,88.5995410712211,67.8343209015907
.095,8.4095,7.246,4.77,.2741,88.8915998605786,58.4117578715023
.1,8.3894,7.2344,4.7158,.2969,89.2307424189613,67.828511676538
.105,8.3654,7.222,4.6989,.3173,89.5887649587545,71.6045079586394
.11,8.3488,7.2091,4.6837,.34,89.9656093877077,75.3688857906326
.115,8.3183,7.1958,4.5475,.3368,90.3518647612409,77.2510747066377
.12,8.2966,7.186,4.43,.3253,90.6345126060183,56.5295689555001
.125,8.2778,7.1682,4.3383,.3339,91.1526664342977,103.630765655862
.13,8.2629,7.1555,4.3123,.3282,91.5200999186708,73.486696874636
.135,8.2327,7.1442,4.229,.2821,91.8498315324736,65.9463227605414
.14,8.223,7.1325,4.0778,.2294,92.1890031369815,67.8343209015964
.145,8.2077,7.1241,3.9967,.2145,92.4339491111886,48.9891948414083
.15,8.1808,7.116,3.7298,.1958,92.6694550946904,47.1011967003619
.155,8.1708,7.1059,3.5793,.2016,92.9615138840479,58.4117578714967
.16,8.1513,7.1017,3.4376,.2152,93.084001394214,24.4975020332305
.165,8.1338,7.0949,3.3059,.2111,93.2818345532706,39.5666318113172
.17,8.115,7.0855,3.2462,.2173,93.5550424073428,54.641570814448
.175,8.101,7.0777,3.3276,.2489,93.7811664923899,45.2248170094123
.18,8.089,7.0673,3.3565,.2884,94.0826362263274,60.2939467875018
.185,8.0598,7.0563,3.2624,.3,94.4029568955501,64.064133844542
.19,8.0352,7.0443,3.2031,.3206,94.7515394446381,69.716509817593
.195,8.0001,7.0323,3.0561,.3151,95.100121993726,69.7165098175901
.2,7.9755,7.0193,3.0587,.3169,95.4769664226792,75.3688857906354
.205,7.9476,7.0076,3.0218,.319,95.8161380271872,67.8343209015878
.21,7.9242,6.9953,3.0704,.3146,96.1741315208551,71.5986987335924
.215,7.9846,6.9846,2.8774,.285,96.4850121993726,62.1761357034956
.22,7.898,6.9697,2.8443,.2492,96.9184094341815,86.6794469617759
.225,7.8785,6.9632,2.8901,.2408,97.1068316486581,37.6844428953177
.23,7.9217,6.9538,2.9128,.2285,97.3800395027303,54.6415708144536
.235,7.8373,6.9463,2.9754,.2191,97.5967235970721,43.336818868363
.24,7.8156,6.9369,2.9416,.206,97.8699314511444,54.6415708144565
.245,7.8007,6.9291,2.978,.1979,98.0960264900662,45.2190077843596
.25,7.7922,6.9226,3.0068,.1869,98.2844487045428,37.6844428953177
.255,7.7809,6.9094,3.2738,.2175,98.6707331242012,77.2568839316847
.26,7.7715,6.9051,3.36,.2497,98.7931915882421,24.491692808175
.265,7.7452,6.8951,3.1817,.2487,99.0852503775996,58.4117578715023
.27,7.7293,6.8876,3.0925,.2558,99.3019344719414,43.336818868363
.275,7.6923,6.8743,3.1722,.285,99.6882188915999,77.2568839316847
.28,7.6625,6.8626,3.2657,.3151,100.027361449983,67.828511676538
.285,7.6427,6.8526,3.1745,.3203,100.31942023934,58.4117578715023
.29,7.6142,6.8309,3.1009,.3313,100.95062158708,126.240269548043
.295,7.5937,6.8237,2.9066,.3191,101.157894736842,41.4546299523636
.3,7.5671,6.8117,2.8028,.2908,101.50647728593,69.7165098175901
.305,7.5461,6.8007,2.8803,.2914,101.826797955153,64.0641338445477
.31,7.4968,6.788,2.9906,.2871,102.194231439526,73.486696874636
.315,7.4799,6.778,2.8894,.256,102.486261182758,58.4059486464497
.32,7.4582,6.765,2.7876,.2246,102.863105611711,75.3688857906354
.325,7.4322,6.766,2.8275,.2176,102.834843731846,-5.65237597304531
.33,7.4202,6.7498,2.8936,.1992,103.3059137911,94.2140118508206
.335,7.4157,6.741,3.0256,.1966,103.560270709887,50.8713837574078
.34,7.4037,6.7332,3.0672,.2103,103.786394794934,45.2248170094066
.345,7.3926,6.7248,3.1122,.2111,104.031340769141,48.9891948414083
.35,7.38,6.7154,3.0308,.21,104.304548623214,54.6415708144565
.355,7.3573,6.7096,3.1602,.2382,104.474119902405,33.914255838269
.36,7.3352,6.6979,3.2339,.2626,104.813291506913,67.8343209015935
.365,7.3226,6.6878,3.1096,.2625,105.10535029627,58.4117578714995
.37,7.2986,6.6768,3.0762,.278,105.425641919368,64.0583246194979
.375,7.2908,6.6667,3.0325,.2816,105.717700708725,58.4117578714967
.38,7.271,6.6564,3.049,.2793,106.019170442663,60.293946787499
.385,7.2515,6.644,3.0522,.2937,106.377192982456,71.6045079586394
.39,7.2305,6.6359,3.085,.2958,106.612728012083,47.1070059254089
.395,7.1977,6.623,2.9248,.2837,106.989543394911,75.3630765655856
.4,7.1763,6.61,2.8596,.2693,107.366387823864,75.3688857906383
.405,7.1477,6.6025,2.9157,.2613,107.583071918206,43.336818868363
.41,7.126,6.5928,2.9624,.2527,107.865719762984,56.5295689554972
.415,7.1176,6.5824,3.0273,.2461,108.167189496921,60.2939467875018
.42,7.1049,6.5701,3.0698,.2592,108.525182990589,71.5986987335867
.425,7.0946,6.5724,3.0539,.2495,108.459248286279,-13.1869408620901
.43,7.0744,6.5522,2.9617,.2438,109.043365864994,116.823515742999
.435,7.0358,6.5422,2.9864,.2493,109.335395608226,58.4059486464525
.44,7.019,6.5292,3.0931,.2508,109.712240037179,75.3688857906354
.445,6.9924,6.5214,3.0996,.26,109.938364122226,45.2248170094094
.45,6.97,6.5101,3.0805,.2646,110.268095736029,65.9463227605471
.455,6.9635,6.4987,3.1421,.2765,110.597827349832,65.9463227605414
.46,6.9392,6.4968,3.0957,.2842,110.654351109562,11.3047519460935
.465,6.9201,6.478,3.0467,.2944,111.200795863832,109.288950853954
.47,6.8944,6.4663,3.097,.3042,111.539938422214,67.8285116765437
.475,6.8526,6.4559,2.928,.2921,111.841408156152,60.2939467874961
.48,6.8227,6.4446,2.8258,.2728,112.171139769955,65.9463227605471
.485,6.7965,6.4339,2.905,.2663,112.482049494597,62.1819449285425
.49,6.7786,6.4212,2.9326,.2631,112.849482978971,73.486696874636
.495,6.7676,6.4112,2.9695,.2561,113.141512722203,58.4059486464525
.5,6.7498,6.4024,2.8946,.2489,113.395898687115,50.8771929824576
.505,6.7387,6.3936,2.8868,.2291,113.650255605902,50.8713837574078
.51,6.7141,6.3839,2.8726,.2137,113.93290345068,56.5295689554972
.515,6.6872,6.3764,3.0714,.228,114.149587545021,43.336818868363
.52,6.6758,6.3661,3.1661,.2364,114.451057278959,60.2939467875018
.525,6.6635,6.3593,3.0565,.2315,114.648890438016,39.5666318113172
.53,6.645,6.3492,2.9572,.2361,114.940949227373,58.4117578714995
.535,6.6324,6.3404,3.0049,.2515,115.19530614616,50.8713837574049
.54,6.6204,6.3294,3.0662,.2615,115.515626815383,64.0641338445477
.545,6.6025,6.3194,3.1424,.2798,115.80768560474,58.4117578714967
.55,6.5795,6.3087,3.1755,.2905,116.118566283258,62.1761357034984
.555,6.5503,6.2937,3.0046,.283,116.551963518067,86.6794469617759
.56,6.5247,6.295,2.9264,.2694,116.514261647496,-7.54037411409456
.565,6.4981,6.273,3.0256,.2877,117.154902985942,128.128267689092
.57,6.4799,6.261,3.0821,.2937,117.50348553503,69.7165098175873
.575,6.465,6.2503,2.9222,.2793,117.814366213547,62.1761357034984
.58,6.429,6.2379,2.7765,.271,118.172359707215,71.5986987335867
.585,6.4115,6.2263,2.846,.2662,118.511531311723,67.8343209015964
.59,6.3859,6.2117,2.8881,.2553,118.935488555827,84.7914488207266
.595,6.3567,6.2136,2.939,.2477,118.878964796096,-11.3047519460906
.6,6.3353,6.1961,2.8888,.2345,119.38767863367,101.742767514816
.605,6.3181,6.1877,2.8288,.2218,119.632624607877,48.9891948414027
.61,6.2944,6.1815,2.8508,.2202,119.811635877774,35.8022539793183
.615,6.271,6.1698,3.2069,.2495,120.150807482282,67.8343209015964
.62,6.2684,6.1591,3.2297,.2694,120.461688160799,62.1761357034927
.625,6.2415,6.1491,3.0626,.2659,120.753746950157,58.4117578715023
.63,6.2159,6.1371,2.9092,.2673,121.102329499245,69.7165098175901
.635,6.1883,6.126,2.8372,.2731,121.422650168468,64.0641338445477
.64,6.1744,6.1153,2.857,.2586,121.733530846985,62.1761357034927
.645,6.151,6.105,2.9614,.2688,122.035000580923,60.2939467875018
.65,6.1345,6.0933,2.9893,.2769,122.37417218543,67.8343209015907
.655,6.1192,6.0829,2.8713,.2566,122.675641919368,60.293946787499
.66,6.1033,6.0693,2.8463,.2599,123.071308237481,79.1332636226315
.665,6.0865,6.0628,2.9919,.2659,123.259730451958,37.6844428953177
.67,6.0638,6.0524,2.9968,.2584,123.561200185895,60.2939467875018
.675,6.055,6.0424,2.9689,.257,123.853258975253,58.4117578714967
.68,6.0346,6.0317,2.9958,.2532,124.164168699895,62.1819449285482
.685,6.018,6.02,2.9442,.2484,124.503311258278,67.8285116765409
.69,5.9976,6.0109,2.9494,.25,124.76710816777,52.759381898457
.695,5.983,6.0093,3.0834,.2685,124.814220982921,9.42256303009117
.7,5.9639,5.9921,3.0743,.2774,125.313523875915,99.8605785988133
.705,5.9311,5.982,2.9303,.2683,125.605582665272,58.4117578715023
.71,5.9097,5.9713,2.9494,.2738,125.91646334379,62.1761357034984
.715,5.8821,5.9603,2.966,.2804,126.236784013013,64.064133844542
.72,5.863,5.9506,2.9864,.2701,126.51943185779,56.5295689555029
.725,5.8354,5.9383,3.0075,.2709,126.877425351458,71.5986987335896
.73,5.8134,5.937,2.9371,.2694,126.915098175903,7.53456488904192
.735,5.7855,5.9181,2.7162,.2432,127.461513884048,109.283141628904
.74,5.7644,5.9084,2.6929,.2387,127.744161728825,56.5295689555057
.745,5.7466,5.8984,2.9497,.2487,128.036220518183,58.4117578715023
.75,5.7287,5.8886,2.975,.234,128.318839316835,56.5237597304474
.755,5.7067,5.8779,3.0253,.2244,128.629719995353,62.1761357034984
.76,5.6872,5.8695,3.0072,.2379,128.87466596956,48.9891948414083
.765,5.669,5.8581,3.0078,.2411,129.204426629488,65.9521319855912
.77,5.6493,5.8478,3.026,.2584,129.505896363425,60.2939467875046
.775,5.6288,5.8384,3.1414,.2822,129.779104217497,54.641570814448
.78,5.6107,5.827,3.122,.2976,130.1088358313,65.9463227605443
.785,5.5876,5.8144,2.9708,.2973,130.476240269548,73.480887649589
.79,5.5643,5.8001,2.9952,.3104,130.890786569072,82.9092599047272
.795,5.5484,5.791,2.8748,.2986,131.154554432439,52.7535726734072
.8,5.5254,5.7777,2.8093,.2659,131.540838852097,77.2568839316818
.805,5.5072,5.766,2.8557,.2688,131.87998141048,67.828511676538
.81,5.4842,5.7563,2.8897,.262,132.162629255257,56.5295689555057
.815,5.4715,5.7459,2.7545,.239,132.464098989195,60.293946787499
.82,5.4504,5.7365,2.8216,.2306,132.737306843267,54.6415708144536
.825,5.4336,5.7277,2.8635,.2217,132.991663762054,50.8713837574021
.83,5.4148,5.718,2.7902,.1962,133.274282560706,56.5237597304588
.835,5.4018,5.7109,2.9617,.212,133.481555710468,41.4546299523636
.84,5.3826,5.7021,3.0714,.2267,133.735912629255,50.8713837574078
.845,5.3632,5.694,2.9984,.2236,133.971447658882,47.1070059254089
.85,5.3486,5.6843,2.9841,.2304,134.25409550366,56.5295689555001
.855,5.323,5.6742,3.1139,.2537,134.546125246892,58.4059486464469
.86,5.3058,5.6664,3.0834,.2697,134.772249331939,45.2248170094151
.865,5.2701,5.6428,3.0584,.2861,135.45997443941,137.545021494134
.87,5.2474,5.6415,3.1093,.3086,135.497647263855,7.53456488903908
.875,5.2146,5.6282,2.9027,.2961,135.883902637388,77.2510747066349
.88,5.1877,5.6204,2.8336,.2897,136.110026722435,45.2248170094094
.885,5.1835,5.6048,2.9747,.3041,136.562216800279,90.438015568725
.89,5.1472,5.5915,2.9854,.3062,136.948501219937,77.2568839316875
.895,5.1261,5.5831,2.8106,.2903,137.193447194144,48.9891948414027
.9,5.1044,5.5688,2.7723,.2748,137.607964447543,82.9034506796802
.905,5.0768,5.5584,2.7811,.2655,137.90943418148,60.293946787499
.91,5.0635,5.5481,2.7973,.2521,138.210903915418,60.293946787499
.915,5.0456,5.5387,2.8979,.2466,138.48411176949,54.6415708144536
.92,5.0246,5.5292,2.9196,.2382,138.757319623562,54.6415708144536
.925,5.0158,5.5215,2.8155,.2209,138.983414662484,45.2190077843625
.93,5.0038,5.5114,2.8142,.2082,139.275473451842,58.4117578714995
.935,4.9918,5.5046,3.0123,.233,139.473306610898,39.5666318113172
.94,4.9691,5.4942,3.1229,.257,139.774805390961,60.2997560125459
.945,4.9513,5.4842,3.0205,.2597,140.066835134193,58.4059486464525
.95,4.9406,5.4735,2.9877,.2672,140.377744858836,62.1819449285454
.955,4.9101,5.4618,2.8502,.2607,140.716887417219,67.8285116765437
.96,4.8893,5.4524,2.8797,.2639,140.990095271291,54.6415708144536
.965,4.8754,5.4375,3.0279,.2783,141.423463459974,86.6736377367261
.97,4.8517,5.4277,3.0587,.2921,141.706111304752,56.5295689555001
.975,4.8283,5.4167,2.9069,.2859,142.026402927849,64.0583246194979
.98,4.8099,5.4057,2.8372,.2782,142.346723597072,64.0641338445391
.985,4.7846,5.3924,2.831,.2799,142.732978970605,77.2510747066349
.99,4.7547,5.3817,2.9196,.2825,143.043888695248,62.1819449285511
.995,4.7317,5.3703,2.9121,.2749,143.373620309051,65.9463227605386
1,4.7061,5.3548,2.857,.2595,143.825810386894,90.438015568725
1.005,4.6808,5.3499,2.7814,.2448,143.967148832346,28.2676890902792
1.01,4.6535,5.3408,2.7211,.2358,144.230916695713,52.7535726734016
1.015,4.6383,5.3291,2.8787,.2385,144.570088300221,67.8343209015964
1.02,4.6201,5.3217,2.9728,.2495,144.786772394563,43.336818868363
1.025,4.6114,5.3126,2.8936,.2421,145.05054025793,52.7535726734072
1.03,4.5896,5.3009,2.8096,.2205,145.389711862438,67.834320901585
1.035,4.577,5.2922,2.8615,.2312,145.644068781225,50.8713837574078
1.04,4.5494,5.2827,2.9997,.2406,145.917276635297,54.6415708144536
1.045,4.529,5.2727,3.0156,.2393,146.209335424654,58.4117578714995
1.05,4.5098,5.2623,2.977,.2521,146.510805158592,60.293946787499
1.055,4.4897,5.251,2.9102,.257,146.840536772395,65.9463227605443
1.06,4.4732,5.2399,2.9225,.2646,147.160857441617,64.0641338445448
1.065,4.4664,5.2231,2.9835,.2812,147.650749390031,97.9783896828167
1.07,4.4479,5.2169,2.9825,.2837,147.829731613803,35.7964447542656
1.075,4.4226,5.2052,2.8151,.273,148.168903218311,67.8343209015964
1.08,4.3937,5.1955,2.7629,.2628,148.451522016963,56.5237597304531
1.085,4.3733,5.1841,2.8275,.2613,148.781253630766,65.9463227605443
1.09,4.3522,5.1734,2.8414,.2654,149.092163355408,62.1819449285397
1.095,4.3357,5.1627,2.8619,.26,149.403044033926,62.1761357035041
1.1,4.3175,5.1504,2.8057,.2523,149.761037527594,71.5986987335839
1.105,4.3165,5.1436,2.7441,.2404,149.95887068665,39.5666318113228
1.11,4.2958,5.1352,2.7671,.2277,150.203816660857,48.9891948414027
1.115,4.2763,5.1251,2.9296,.2361,150.495875450215,58.4117578714995
1.12,4.2507,5.1157,3.0211,.2474,150.769083304287,54.6415708144593
1.125,4.2157,5.1073,2.9559,.2437,151.014029278494,48.9891948414083
1.13,4.1946,5.0946,2.8233,.239,151.381433716742,73.4808876495833
1.135,4.1686,5.0842,2.8135,.2493,151.682932496805,60.2997560125459
1.14,4.1459,5.0758,2.8936,.2613,151.927878471012,48.9891948414083
1.145,4.1326,5.0664,3.0172,.2736,152.201086325084,54.6415708144536
1.15,4.1193,5.0583,2.9832,.2785,152.436592308586,47.1011967003619
1.155,4.0853,5.0444,2.939,.2778,152.841698617404,81.0212617636807
1.16,4.0606,5.0375,2.8849,.2829,153.039531776461,39.5666318113172
1.165,4.0292,5.0191,2.9014,.288,153.576536540026,107.400952712902
1.17,3.999,5.0084,2.9439,.2955,153.887417218543,62.1761357035041
1.175,3.9896,4.9989,2.7542,.2746,154.160625072615,54.6415708144536
1.18,3.9711,4.9869,2.7221,.26,154.509207621703,69.7165098175901
1.185,3.9572,4.9785,2.7811,.2592,154.75415359591,48.9891948414083
1.19,3.9452,4.9675,2.8057,.2518,155.074474265133,64.0641338445391
1.195,3.9328,4.9555,2.8657,.2447,155.423056814221,69.7165098175958
1.2,3.9182,4.9464,2.834,.2424,155.686824677588,52.7535726734072
1.205,3.8751,4.937,2.7675,.2332,155.96003253166,54.641570814448
1.21,3.868,4.9279,2.8229,.2335,156.223829441153,52.7593818984542
1.215,3.8469,4.9192,2.9679,.2464,156.47818635994,50.8713837574078
1.22,3.8274,4.9081,3.0036,.2555,156.798507029162,64.0641338445448
1.225,3.8268,4.899,2.9364,.2553,157.062303938655,52.7593818984542
1.23,3.8102,4.8867,2.8307,.2583,157.420297432323,71.5986987335896
1.235,3.7937,4.8789,2.7853,.2591,157.646392471244,45.2190077843625
1.24,3.77,4.866,2.8862,.2733,158.023236900198,75.3688857906354
1.245,3.7337,4.8559,2.9822,.2811,158.31526664343,58.4059486464469
1.25,3.7129,4.8462,2.9549,.2753,158.597914488207,56.5295689555057
1.255,3.6863,4.8352,2.761,.2574,158.918206111305,64.0583246194979
1.26,3.6665,4.8241,2.7036,.2466,159.238526780527,64.0641338445448
1.265,3.6555,4.8124,2.7898,.251,159.577698385035,67.8343209015907
1.27,3.6406,4.8147,2.891,.2542,159.5117346346,-13.192750087137
1.275,3.6127,4.7943,2.9702,.2595,160.105263157895,118.705704658998
1.28,3.59,4.7842,2.8735,.2497,160.397321947252,58.4117578714995
1.285,3.5576,4.7755,2.7328,.238,160.651678866039,50.8713837574021
1.29,3.5284,4.7651,2.7402,.2382,160.953148599977,60.2939467875046
1.295,3.518,4.7524,2.8995,.2429,161.320553038225,73.4808876495833
1.3,3.4959,4.7411,2.9595,.2498,161.650284652027,65.9463227605443
1.305,3.4758,4.7417,2.9381,.2498,161.631462762867,-3.76437783199322
1.31,3.4719,4.722,2.8421,.2532,162.206140350877,114.935517601947
1.315,3.456,4.7109,2.9066,.2633,162.526431973975,64.0583246194979
1.32,3.4291,4.7012,2.9176,.2714,162.809079818752,56.5295689555001
1.325,3.398,4.6902,2.8609,.2744,163.12937144185,64.0583246194979
1.33,3.3795,4.6782,2.8126,.267,163.477953990938,69.7165098175901
1.335,3.3542,4.6671,2.6809,.254,163.79827466016,64.0641338445448
1.34,3.3364,4.6574,2.6948,.251,164.080893458813,56.5237597304474
1.345,3.3247,4.647,2.8077,.2453,164.38236319275,60.2939467875046
1.35,3.3185,4.6354,2.8203,.2388,164.721534797258,67.8343209015907
1.355,3.2987,4.6292,2.7967,.2364,164.900517021029,35.7964447542713
1.36,3.2871,4.6185,2.7535,.2283,165.211397699547,62.1761357034927
1.365,3.2708,4.6088,2.7623,.233,165.494045544324,56.5295689555057
1.37,3.2397,4.6023,2.8833,.2366,165.682467758801,37.6844428953177
1.375,3.2248,4.5906,3.0448,.2506,166.021610317184,67.828511676538
1.38,3.2099,4.5805,2.9926,.2578,166.313669106541,58.4117578714995
1.385,3.1872,4.5672,2.8764,.2631,166.699924480074,77.2510747066349
1.39,3.1625,4.5595,2.8654,.2819,166.926019518996,45.2190077843625
1.395,3.1453,4.5475,2.8797,.2923,167.274602068084,69.7165098175901
1.4,3.1252,4.5348,2.8719,.3005,167.642006506332,73.480887649589
1.405,3.0811,4.5371,2.881,.3002,167.576071802022,-13.1869408620901
1.41,3.0535,4.5131,2.8369,.2989,168.273207854072,139.427210410133
1.415,3.0282,4.5008,2.7396,.2757,168.63120134774,71.5986987335839
1.42,3.0065,4.4904,2.7003,.255,168.932671081678,60.2939467875046
1.425,2.9815,4.48,2.7136,.2477,169.234140815615,60.2939467874933
1.43,2.9767,4.4703,2.7178,.2328,169.516788660393,56.5295689555057
1.435,2.9598,4.4631,2.6611,.222,169.724032764029,41.4488207273109
1.44,2.941,4.4411,2.738,.2259,170.364674102475,128.128267689095
1.445,2.928,4.4427,2.7973,.2277,170.317561287324,-9.42256303009685
1.45,2.906,4.4349,2.8184,.2107,170.543656326246,45.2190077843625
1.455,2.8842,4.4268,2.9679,.2301,170.779191355873,47.1070059254089
1.46,2.8829,4.4177,3.0072,.2424,171.04295921924,52.7535726734072
1.465,2.8563,4.4077,2.9238,.2571,171.335018008598,58.4117578715052
1.47,2.8447,4.3986,2.8868,.2778,171.59881491809,52.7593818984485
1.475,2.8168,4.3853,2.9047,.2944,171.985070291623,77.2510747066349
1.48,2.8006,4.3723,2.9225,.3094,172.361885674451,75.3630765655885
1.485,2.7756,4.3603,2.8936,.3139,172.710468223539,69.7165098175901
1.49,2.7516,4.347,2.8687,.3214,173.096723597072,77.2510747066292
1.495,2.7318,4.3347,2.6601,.2944,173.45471709074,71.5986987335953
1.5,2.6445,4.3217,2.5476,.2715,173.831561519693,75.3688857906354
1.505,2.6724,4.3168,2.6098,.2519,173.972870919019,28.2618798652209
1.51,2.6572,4.301,2.7097,.2393,174.434500987568,92.3260137097714
1.515,2.6647,4.2922,2.7558,.2349,174.688857906355,50.8713837574078
1.52,2.6439,4.2828,2.6611,.2128,174.962065760428,54.6415708144536
1.525,2.6215,4.274,2.6364,.195,175.216422679215,50.8713837574078
1.53,2.5959,4.2656,2.6111,.1789,175.461368653422,48.9891948414083
1.535,2.5875,4.2575,2.8651,.1854,175.696903683049,47.1070059254089
1.54,2.5612,4.2624,2.9647,.2035,175.555594283723,-28.2618798652265
1.545,2.5424,4.2426,2.94,.2134,176.130271871732,114.935517601953
1.55,2.5242,4.2332,2.8865,.2225,176.403479725805,54.6415708144536
1.555,2.496,4.2247,2.9702,.2487,176.648425700012,48.9891948414083
1.56,2.4769,4.2131,3.0091,.2809,176.987568258394,67.828511676538
1.565,2.4584,4.202,2.9815,.2999,177.307888927617,64.0641338445505
1.57,2.4292,4.1865,2.9549,.3209,177.760079005461,90.438015568725
1.575,2.4055,4.1832,2.6828,.3054,177.854304635762,18.8451260601823
1.58,2.3834,4.1628,2.6056,.2898,178.447804112931,118.699895433946
1.585,2.3663,4.1524,2.7438,.284,178.749273846869,60.293946787499
1.59,2.3429,4.1411,2.8116,.2799,179.079005460672,65.9463227605443
1.595,2.3244,4.131,2.6682,.2663,179.371064250029,58.4117578714995
1.6,2.3082,4.1187,2.5411,.2272,179.729057743697,71.5986987335896
1.605,2.2917,4.1119,2.5401,.2144,179.926890902754,39.5666318113172
1.61,2.2735,4.1015,2.6225,.206,180.228360636691,60.293946787499
1.615,2.2647,4.0934,2.8696,.2076,180.463895666318,47.1070059254089
1.62,2.2505,4.0862,2.8949,.2094,180.671139769955,41.4488207273166
1.625,2.2265,4.0785,2.7993,.2068,180.897234808876,45.2190077843568
1.63,2.2294,4.0694,2.7461,.1987,181.161031718369,52.7593818984599
1.635,2.2135,4.0593,2.843,.2259,181.453090507726,58.4117578714938
1.64,2.1937,4.0577,2.9014,.2484,181.500174276751,9.41675380504421
1.645,2.1743,4.0428,2.8871,.2628,181.933542465435,86.6736377367261
1.65,2.1613,4.0321,2.9549,.2793,182.244423143953,62.1761357034984
1.655,2.1366,4.0214,2.916,.2935,182.555332868595,62.1819449285454
1.66,2.1133,4.009,2.929,.3036,182.913326362263,71.5986987335953
1.665,2.0883,3.9961,2.9572,.3097,183.290141745091,75.3630765655828
1.67,2.0533,3.9834,2.9306,.3259,183.657575229464,73.486696874636
1.675,2.0238,3.9821,2.6822,.3136,183.69524805391,7.53456488904476
1.68,1.9988,3.9562,2.5761,.3041,184.448936911816,150.737771581271
1.685,1.9696,3.9442,2.6737,.2963,184.797490414779,69.7107005925375
1.69,1.9436,3.9322,2.7094,.2919,185.146072963867,69.7165098175958
1.695,1.8454,3.9215,2.6137,.2613,185.456953642384,62.1761357034927
1.7,1.8512,3.9111,2.5511,.2268,185.758423376322,60.2939467875046
1.705,1.8178,3.9046,2.5245,.1993,185.946845590798,37.6844428953177
1.71,1.8645,3.8939,2.5865,.1865,186.257726269316,62.1761357034927
1.715,1.8687,3.8881,2.952,.2108,186.427326594632,33.9200650633188
1.72,1.8525,3.8816,2.9381,.2162,186.615719762984,37.6786336702708
1.725,1.8405,3.8718,2.774,.2209,186.898367607761,56.5295689555001
1.73,1.8256,3.8628,2.7396,.2286,187.162135471128,52.7535726734072
1.735,1.8055,3.853,2.8544,.234,187.44475426978,56.5237597304531
1.74,1.7789,3.8443,3.0072,.277,187.699140234693,50.8771929824547
1.745,1.7701,3.8342,3.0292,.2957,187.991169977925,58.4059486464469
1.75,1.7442,3.8225,2.9442,.3028,188.330341582433,67.8343209015907
1.755,1.7234,3.8105,2.663,.3028,188.678895085396,69.7107005925432
1.76,1.7027,3.7976,2.6251,.3052,189.055739514349,75.3688857906354
1.765,1.6787,3.7882,2.7045,.2984,189.328947368421,54.6415708144536
1.77,1.6608,3.7732,2.7347,.2982,189.762315557105,86.6736377367261
1.775,1.6433,3.7645,2.6105,.2657,190.016672475892,50.8713837574021
1.78,1.6264,3.7525,2.5414,.2311,190.36525502498,69.7165098175958
1.785,1.6105,3.7434,2.5625,.2184,190.629022888347,52.7535726734072
1.79,1.5917,3.7337,2.6095,.205,190.911641686999,56.5237597304531
1.795,1.5801,3.7262,2.856,.2246,191.128325781341,43.336818868363
1.8,1.5554,3.7175,2.8145,.2293,191.382711746253,50.8771929824547
1.805,1.5314,3.7071,2.7454,.2267,191.684181480191,60.293946787499
1.81,1.5077,3.7045,2.7201,.2345,191.759527129081,15.0691297780838
1.815,1.4828,3.6876,2.8203,.2456,192.249419077495,97.9783896828167
1.82,1.4539,3.6785,2.8826,.2553,192.513215986987,52.7593818984542
1.825,1.4344,3.6691,2.8839,.2738,192.78642384106,54.6415708144536
1.83,1.4111,3.6575,2.8683,.2837,193.125566399442,67.8285116765494
1.835,1.3923,3.6442,2.7029,.2803,193.511821772975,77.2510747066235
1.84,1.377,3.6344,2.6663,.2871,193.794440571628,56.5237597304588
1.845,1.3533,3.6208,2.7253,.2892,194.190106889741,79.1332636226343
1.85,1.3488,3.6117,2.7169,.2793,194.453903799233,52.7593818984485
1.855,1.3284,3.6004,2.7045,.2673,194.783635413036,65.94632276055
1.86,1.3037,3.5842,2.6575,.2574,195.254676426165,94.2082026257651
1.865,1.3024,3.5806,2.7123,.2545,195.358313001046,20.7273149761818
1.87,1.2645,3.5699,2.7282,.2583,195.669193679563,62.1761357035041
1.875,1.2408,3.5628,2.7506,.2673,195.876466829325,41.4546299523579
1.88,1.2311,3.5511,2.6984,.2613,196.215609387708,67.8285116765437
